matter_id,matter_type,matter_subtype,jurisdiction,firm_tier,client_type,deal_value_hkd,document_volume,complexity_score,party_count,cross_border_flag,partner_rate_hkd,associate_rate_hkd,partner_hours,associate_hours,total_hours,stage_count,stage_names,stage_partner_hours,stage_associate_hours,stage_costs,total_cost_hkd,predicted_cost_hkd,billed_amount_hkd,realization_rate,cost_variance_pct,scope_creep_flag,scope_creep_pct,duration_days,outcome,billing_model,prc_cost_estimate_cny,data_source
781293ec-cc99-568c-a1c5-42b598cbfd71,Litigation,Debt Recovery,HK Only,Mid-tier (6-10 partners),Financial Institution,,2896,3,5,FALSE,2374.41,1125.31,76.4307,199.1477,275.5784,5,"[""Case Assessment"", ""Pleadings"", ""Discovery"", ""Interlocutory Applications"", ""Settlement/Trial""]","[15.2582, 19.1755, 20.0962, 12.3811, 9.5197]","[23.3592, 38.5845, 52.6059, 42.1298, 42.4683]","[62515.564014, 88950.02265, 106914.563571, 76806.892889, 70393.67355]",405580.716674,389082.59,389082.59,0.9593,0.042403,FALSE,,255,Settled/Completed,Fixed Fee,,SYNTHETIC_MVP_V1
0c287ba4-d5d9-55f6-b4fd-bef643ddb6ce,Wills & Probate,Contentious Probate,HK Only,Mid-tier (6-10 partners),Individual,,8,2,3,FALSE,4251.52,2521.68,1.1951,4.4036,5.5987,4,"[""Client Intake"", ""Asset Review"", ""Drafting/Application"", ""Execution/Filing""]","[0.323, 0.4128, 0.2982, 0.1611]","[0.7139, 1.31, 1.3418, 1.0379]","[3173.468312, 5058.428256, 4651.393488, 3302.171544]",16185.4616,22192.02,22192.02,1.3711,-0.270663,FALSE,,19,Settled/Completed,Fixed Fee,,SYNTHETIC_MVP_V1
f0fa0335-bd23-5cdc-b65b-1e78bcc28881,Corporate Restructuring,Debt Restructuring,HK Only,Small/Boutique (1-5 partners),HK Listed Co.,65009384.8,1422,3,10,FALSE,2310.31,956.58,68.0326,182.5608,250.5934,5,"[""Scoping"", ""Due Diligence"", ""Scheme Design"", ""Creditor/Stakeholder Negotiation"", ""Implementation""]","[14.0633, 19.2062, 17.8397, 9.7061, 7.2173]","[22.8384, 40.9953, 49.5375, 35.0352, 34.1544]","[54337.339295, 83587.559996, 88601.819057, 55938.071507, 49345.616315]",331810.40617,305771.61,312121.98,0.9407,0.085158,TRUE,0.085158,171,Settled/Completed,Hourly,,SYNTHETIC_MVP_V1
a5a2221c-320f-5081-90d8-24000a6b37a8,Litigation,Shareholder Dispute,HK Only,Large Local (11+ partners),SOE,,3837,5,7,FALSE,4084.6,2117.14,292.1934,499.4317,791.6251,5,"[""Case Assessment"", ""Pleadings"", ""Discovery"", ""Interlocutory Applications"", ""Settlement/Trial""]","[65.3149, 67.0209, 76.3257, 46.98, 36.5519]","[65.9201, 88.9056, 131.7174, 105.3894, 107.4992]","[406347.321054, 461979.170124, 590624.130456, 415018.622316, 376890.747028]",2250859.990978,1597098.31,2264780.31,1.0062,0.409343,TRUE,0.409343,746,Settled/Completed,Retainer,,SYNTHETIC_MVP_V1
e8f71462-6e49-525d-a8d9-db1228982267,Litigation,Professional Negligence Claim,HK Only,Large Local (11+ partners),HK Listed Co.,,1029,2,5,FALSE,3522.33,1650.99,96.0739,326.6946,422.7685,5,"[""Case Assessment"", ""Pleadings"", ""Discovery"", ""Interlocutory Applications"", ""Settlement/Trial""]","[18.7396, 24.0771, 25.9228, 16.7389, 10.5955]","[37.6072, 63.5079, 88.9528, 74.665, 61.9617]","[128096.166396, 189658.399464, 238168.839396, 182231.097987, 139618.994598]",877773.497841,1343248.49,845244.72,0.9629,-0.346529,FALSE,,249,Settled/Completed,Hourly,,SYNTHETIC_MVP_V1
0c596480-aaaa-5e72-aba3-09e1f4a81213,Corporate Restructuring,Scheme of Arrangement,GBA Cross-Border (HK-PRC),Magic Circle / International,Mainland Enterprise,2290372662.89,4118,4,6,TRUE,9153.08,4513.13,273.2363,353.4057,626.642,5,"[""Scoping"", ""Due Diligence"", ""Scheme Design"", ""Creditor/Stakeholder Negotiation"", ""Implementation""]","[58.232, 72.2023, 61.3499, 50.4999, 30.9522]","[44.6922, 72.834, 80.5102, 86.1467, 69.2226]","[734703.863146, 989582.738504, 924893.541618, 851020.880863, 595718.555514]",4095919.579645,5413942.63,4130438.44,1.0084,-0.24345,FALSE,,194,Settled/Completed,Hourly,1422319.74,SYNTHETIC_MVP_V1
7e3f0c16-1435-5254-976d-b8f7e3bb9163,Employment,Restrictive Covenant Advice,HK Only,Mid-tier (6-10 partners),SME/Local Business,,41,1,3,FALSE,3469.7,1531.28,4.0939,23.4492,27.5431,4,"[""Initial Advice"", ""Document Review"", ""Negotiation"", ""Settlement/Tribunal""]","[1.0685, 1.3973, 1.0124, 0.6157]","[3.6158, 6.7887, 6.9737, 6.071]","[9244.176674, 15243.612346, 14191.411616, 11432.69517]",50111.895806,43915.12,44438.95,0.8868,0.141108,TRUE,0.141108,22,Settled/Completed,Hourly,,SYNTHETIC_MVP_V1
3668a2c9-9537-513b-abc7-0d28772affa9,Arbitration,Enforcement of Award,Multi-Jurisdictional (APAC),Magic Circle / International,Financial Institution,,3492,5,10,TRUE,10955.89,4524.61,318.5288,383.307,701.8358,6,"[""Case Assessment"", ""Pleadings"", ""Evidence"", ""Hearing Preparation"", ""Hearing/Settlement"", ""Award/Enforcement""]","[59.3709, 69.2388, 57.6785, 63.1132, 39.8385, 29.2889]","[42.6971, 62.0361, 63.88, 86.1585, 67.1574, 61.3779]","[843648.775232, 1039261.834953, 920951.388165, 1081294.887433, 740327.267379, 598597.02674]",5224081.179902,4476165.93,4830571.87,0.9247,0.167088,TRUE,0.167088,873,Settled/Completed,Hourly,,SYNTHETIC_MVP_V1
3f01ebcb-08a3-5192-9dfd-741cd8ec6357,Employment,Unfair Dismissal Claim,GBA Cross-Border (HK-PRC),PRC Elite Firm in HK,SOE,,114,3,2,TRUE,6308.36,2688.36,23.5342,60.9079,84.4421,4,"[""Initial Advice"", ""Document Review"", ""Negotiation"", ""Settlement/Tribunal""]","[5.4087, 8.2435, 6.5567, 3.3253]","[8.1782, 17.8961, 20.1816, 14.652]","[56105.972484, 100114.125056, 95617.430188, 60367.040228]",312204.567956,306131.86,306131.86,0.9805,0.019837,FALSE,,103,Settled/Completed,Fixed Fee,119374.82,SYNTHETIC_MVP_V1
70c11ca1-8f26-5961-8121-bfcbfd91e507,Regulatory/Compliance,AML Compliance Review,HK Only,Magic Circle / International,HK Listed Co.,,212,4,3,FALSE,10817.76,4866.91,29.994,52.232,82.226,5,"[""Scoping"", ""Document Review"", ""Regulatory Analysis"", ""Remediation Advice"", ""Submission/Follow-up""]","[6.778, 6.3047, 8.6026, 5.5028, 2.8059]","[7.055, 8.6253, 15.3106, 12.7309, 8.5102]","[107658.82733, 110181.290295, 167576.174422, 121488.114247, 71771.930266]",578676.33656,733320.59,560081.22,0.9679,-0.210882,FALSE,,127,Settled/Completed,Hourly,,SYNTHETIC_MVP_V1
